GeneSymbol,Daily1,Daily2,Daily3,Daily4,Daily5,Weekly1,Weekly2,Weekly3,Weekly4,Weekly5,Vehicle1,Vehicle2,Vehicle3,Vehicle4,Vehicle5
Cpeb1,62.18207854,72.13668312,42.59576418,63.83086036,58.19528926,49.52324863,63.6956967,57.67996678,34.16322397,49.01535251,50.15212405,48.22851513,52.43284389,54.30973161,47.8124396
Tma16,4.570175038,5.434025094,5.111491702,7.115571319,6.512329988,5.739891351,7.057193669,8.153712582,3.236515955,7.094327337,6.81679356,5.384737126,5.151698635,5.088080762,4.8603662
Klhl4,0.415470458,1.086805019,0.929362128,0.837126037,1.1084817,1.334858454,1.266675787,2.415914839,0.359612884,1.547853237,2.799754498,1.755892541,1.602750687,1.65915677,2.14760367
Zfp202,3.877724274,2.58116192,3.562554823,3.557785659,4.572487013,4.138061206,3.980981044,4.932492796,3.236515955,4.127608633,4.260495975,3.628844585,4.80825206,4.97747031,4.8603662
Copg2,23.82030626,20.3775941,12.8561761,24.06737358,18.56706848,22.02516448,24.42874732,23.55516968,24.81328899,23.21779856,20.69383759,22.70954353,25.64401098,22.56453207,25.99730758
Podxl,30.05236313,33.96265684,25.55745851,38.08923471,29.37476505,50.59113539,30.49069572,49.32492796,25.53251476,53.65891222,24.71087666,24.81661458,27.93365482,25.66162471,22.71938619
Mkln1,122.9792556,121.4504608,81.16429248,117.1976452,100.7332745,106.5217046,119.7008618,113.8499868,78.75522158,122.4093935,100.7911619,97.9788038,109.788422,103.8632138,102.7458808
Map3k7cl,24.09728656,20.51344473,19.82639206,24.69521811,16.48866529,15.75132975,20.44776627,18.72334,9.709547866,13.93067913,17.8940831,15.10067585,13.50889864,16.5915677,15.71141632
Bach1,51.51833679,47.27601832,31.28852496,47.92546565,46.27911098,46.58656003,51.3908462,55.66670442,83.78980195,59.33437409,50.0303956,43.78025403,49.4563069,47.34127317,46.79515365
Cct8,71.18393847,68.74041744,47.86214957,68.85361658,68.17162456,74.7520734,85.77204613,93.91868937,64.37070622,80.6173561,66.58546567,65.55332154,66.17070691,57.18560334,65.89752313
Usp16,48.74853374,55.56290658,32.37278078,53.36678489,46.97191204,49.52324863,56.45754935,58.58593485,41.35548165,55.98069208,44.06570123,41.90730198,43.15978634,43.91234918,46.11696302
Phf6,7.339978091,8.69444015,6.195747518,7.952697356,8.590733176,7.074749804,11.03817471,10.97227989,3.236515955,9.803070502,8.520991951,8.428284198,7.555824665,9.95494062,7.460096959
Hprt,16.75730847,18.74738657,11.30723922,20.50958792,20.36835124,24.56139555,24.24779363,24.25981151,20.49793438,23.60476187,18.62445383,14.74949735,18.66059728,16.92339905,16.84173404
Ccdc51,5.124135648,3.260415056,2.168511631,3.34850415,3.3254451,5.873377196,4.071457886,4.529840323,8.630709214,4.901535251,1.947655303,3.628844585,3.777912333,3.981976248,4.408239112
